-----------------------------------
Unigrams and their probabilities:
-----------------------------------

<s> has probability 0.10930006194142111
</s> has probability 0.10930006194142111
the has probability 0.049759608294251245
what has probability 0.03481697784856797
why has probability 0.031147686045482702
is has probability 0.02774385747573961
how has probability 0.019266731557679263
are has probability 0.015650532401262424
to has probability 0.014724360676046367
of has probability 0.014435300710851548
a has probability 0.012824823761908976
did has probability 0.01274223520042474
was has probability 0.012093325074477185
they has probability 0.0118868536707666
this has probability 0.011833761024098163
in has probability 0.009538978851429077
does has probability 0.008176267586939208
it has probability 0.007556853375807451
were has probability 0.006742766126891425
who has probability 0.00638291596613869
do has probability 0.005503937704627909
he has probability 0.005232575288322567
which has probability 0.005073297348317258
and has probability 0.004978910420906704
that has probability 0.004518774149780256
be has probability 0.004495177417927617
for has probability 0.004465681503111819
these has probability 0.0044007904905170635
would has probability 0.00385806565790638
have has probability 0.0036869893519747513
 has probability 0.00355720732678524
there has probability 0.0033920302038167715
will has probability 0.002908297200837684
so has probability 0.002790313541574492
on has probability 0.0026015396867533846
not has probability 0.0026015396867533846
where has probability 0.0023714715511901603
other has probability 0.0023714715511901603
their has probability 0.002212193611184851
with has probability 0.002153201781553255
or has probability 0.0021414034156269357
many has probability 0.0021119075008111375
has has probability 0.0019998230245111054
an has probability 0.001993923841547946
being has probability 0.0019231336459900304
his has probability 0.0018405450845057959
been has probability 0.0018287467185794768
this? has probability 0.0016281744978320504
from has probability 0.0016222753148688906
by has probability 0.0015986785830162523
at has probability 0.0015927794000530925
much has probability 0.001586880217089933
when has probability 0.0015219892044951774
about has probability 0.0015042916556056987
long has probability 0.001439400643010943
kind has probability 0.0013745096304161875
can has probability 0.0013450137156003894
she has probability 0.001321416983747751
people has probability 0.001262425154116155
as has probability 0.0012211308733740378
want has probability 0.0011385423118898032
if has probability 0.0011326431289266437
new has probability 0.0011326431289266437
more has probability 0.0011149455800371648
it? has probability 0.0010441553844792496
get has probability 0.0010323570185529305
mean? has probability 0.0010028611037371325
mean has probability 0.0009320709081792172
up has probability 0.0008494823466949828
for? has probability 0.0008494823466949828
such has probability 0.0008435831637318231
two has probability 0.0008376839807686635
take has probability 0.0008199864318791847
considered has probability 0.0008140872489160252
caused has probability 0.0008022888829897059
type has probability 0.0007786921511370675
year? has probability 0.0007668937852107484
some has probability 0.0007609946022475887
company has probability 0.0007609946022475887
them has probability 0.0007491962363212695
that? has probability 0.0007373978703949503
make has probability 0.0007373978703949503
come has probability 0.0007020027726159926
know has probability 0.0007020027726159926
government has probability 0.0007020027726159926
only has probability 0.0006902044066896735
had has probability 0.0006843052237265138
going has probability 0.0006843052237265138
need has probability 0.0006784060407633543
any has probability 0.0006784060407633543
made has probability 0.0006489101259475563
her has probability 0.0006430109429843967
could has probability 0.0006253133940949179
its has probability 0.0006135150281685987
makes has probability 0.0006017166622422794
all has probability 0.0005899182963159602
one has probability 0.0005899182963159602
from? has probability 0.0005722207474264814
to? has probability 0.0005722207474264814
cause has probability 0.0005545231985370026
than has probability 0.000548624015573843
year has probability 0.000548624015573843
no has probability 0.0005427248326106834
out has probability 0.0005368256496475238
able has probability 0.0005250272837212046
about? has probability 0.000519128100758045
